,City,Country,Current Description,Max Temp,Lat,Lng,Hotel Name
501,Bosaso,SO,overcast clouds,90.95,11.28,49.18,Red Sea Hotel
503,Nyurba,RU,clear sky,76.08,63.28,118.33,Gostinitsa Alrosa
504,Sao Joao Dos Patos,BR,clear sky,73.06,-6.5,-43.7,HOTEL SÃO CRISTOVÃO
507,Ascension,US,scattered clouds,89.01,30.22,-90.9,Highland Inn
508,Praia Da Vitoria,PT,overcast clouds,71.6,38.73,-27.07,Hotel Branco I
510,Beberibe,BR,scattered clouds,80.6,-4.18,-38.13,Villa Arte Pousada Morro Branco
511,Esperantina,BR,scattered clouds,75.06,-3.9,-42.23,Pousada Recanto Das Aguas
512,Tucurui,BR,scattered clouds,80.04,-3.77,-49.67,BBB Rooms Centro Tucurui PA
514,Port Arthur,CN,clear sky,75.2,38.8,121.27,Friendship Hotel
515,Shingu,JP,broken clouds,71.6,33.73,135.98,Shingu UI Hotel
516,Barcelona,ES,few clouds,75.99,41.39,2.16,Hotel Condes de Barcelona
517,Port Moresby,PG,overcast clouds,81.16,-9.44,147.18,Lamana Hotel
521,Samarai,PG,overcast clouds,79.07,-10.62,150.67,Nuli Sapi
522,Diffa,NE,broken clouds,87.62,13.32,12.61,ProDAF/Diffa
526,Acarau,BR,broken clouds,76.84,-2.89,-40.12,castelo pizzaria
527,Lincoln,US,few clouds,87.01,40.8,-96.67,Courtyard by Marriott Lincoln Downtown/Haymarket
528,May Pen,JM,few clouds,86.0,17.96,-77.25,Mus Com Bac
529,Nishihara,JP,broken clouds,86.0,26.18,127.76,Minshuku Agaihama
530,Waddan,LY,clear sky,76.05,29.16,16.14,محل الشريف محمد العايب
531,Santa Marta,CO,overcast clouds,81.84,11.24,-74.2,Hotel La Ballena Azul
534,Bartica,GY,few clouds,80.6,6.4,-58.62,La Vista Hotel and Apartment
535,Storm Lake,US,scattered clouds,86.0,42.64,-95.21,King's Pointe Resort
537,Bowen,AU,overcast clouds,72.0,-20.02,148.23,Castle Motor Lodge Motel
540,Brownwood,US,few clouds,89.6,31.71,-98.99,La Quinta Inn & Suites by Wyndham Brownwood
541,Phuket,TH,light rain,77.0,8.0,98.25,The Surin Phuket
542,Eseka,CM,overcast clouds,70.02,3.65,10.77,Hotel Eseka Palace
543,Nioki,CD,broken clouds,76.84,-2.72,17.68,
544,Barra Do Garcas,BR,clear sky,72.59,-15.89,-52.26,Hotel Pousada Tropical
545,Ziyang,CN,overcast clouds,81.54,29.25,117.85,Wuyuan Great Wall Hotel
548,Perundurai,IN,broken clouds,75.2,11.27,77.58,Hotel Royal Park
550,Guerrero Negro,MX,clear sky,74.88,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
551,Marzuq,YE,overcast clouds,81.43,14.4,46.47,
552,Mudon,MM,overcast clouds,77.47,16.26,97.72,Motel Mudon
554,Ananindeua,BR,broken clouds,77.0,-1.37,-48.37,Motel Pousada Athenas
556,Vicksburg,US,clear sky,84.2,32.35,-90.88,La Quinta Inn & Suites by Wyndham Vicksburg
557,Rosarito,MX,smoke,73.99,32.33,-117.03,Hotel Festival Plaza Rosarito
563,Charlottesville,US,broken clouds,89.6,38.03,-78.48,Holiday Inn Charlottesville-Monticello
564,Cao Bang,VN,overcast clouds,81.18,22.67,106.25,khách sạn 88
565,Meulaboh,ID,scattered clouds,76.26,4.14,96.13,Kost Pria
566,Mizdah,LY,clear sky,78.82,31.45,12.98,محمدالمبروك الاريقط
568,Estelle,US,clear sky,87.8,29.85,-90.11,Comfort Inn Marrero - New Orleans West
570,Morden,CA,clear sky,87.8,49.19,-98.1,Morden Motor Inn
571,Maningrida,AU,broken clouds,77.49,-12.07,134.27,Dhukurrdji Lodge
573,Sale,MA,scattered clouds,70.0,34.04,-6.82,Hôtel Mercure Rabat Sheherazade
574,Beruwala,LK,broken clouds,80.91,6.48,79.98,The Eden Resort & Spa
575,Laurel,US,scattered clouds,84.0,39.1,-76.85,Days Inn & Suites by Wyndham Laurel Near Fort Meade
580,Vieste,IT,few clouds,75.0,41.88,16.18,Hotel Falcone
586,Atuona,PF,scattered clouds,80.44,-9.8,-139.03,Villa Enata
588,Kahului,US,few clouds,87.8,20.89,-156.47,Maui Seaside Hotel
592,Rikitea,PF,clear sky,70.25,-23.12,-134.97,Pension Maro'i
596,Puerto Ayora,EC,broken clouds,71.01,-0.74,-90.35,Finch Bay Galapagos Hotel
599,Gat,IL,clear sky,72.0,31.61,34.76,רגע בנחת
600,Yellowknife,CA,broken clouds,72.0,62.46,-114.35,The Explorer Hotel
601,Rancho Palos Verdes,US,few clouds,73.0,33.74,-118.39,Terranea Resort
603,Ponta Do Sol,PT,few clouds,71.6,32.67,-17.1,Hotel do Campo
608,Sembe,CG,overcast clouds,70.34,1.65,14.58,
609,Bambous Virieux,MU,few clouds,72.0,-20.34,57.76,Casa Tia Villa
611,Katsuura,JP,heavy intensity shower rain,73.4,35.13,140.3,Katsuura Hilltop Hotel & Residence
616,Salalah,OM,broken clouds,82.4,17.02,54.09,HAMDAN PLAZA HOTEL
617,Amarante Do Maranhao,BR,clear sky,74.79,-5.57,-46.74,Hotéis Caçulinha
619,Manado,ID,few clouds,80.6,1.49,124.85,Aryaduta Hotel
621,Puerto Escondido,MX,broken clouds,86.0,15.85,-97.07,Aldea del Bazar Hotel and Spa
622,Khatanga,RU,overcast clouds,72.28,71.97,102.5,"Gostinitsa ""Zapolyar'ye"""
623,Tabou,CI,broken clouds,75.85,4.42,-7.35,hotêl doufoulougou
625,Poum,NC,clear sky,71.04,-20.23,164.02,Gîte kajeon
627,Hilo,US,few clouds,84.2,19.73,-155.09,Hilo Hawaiian Hotel
629,Vaini,TO,broken clouds,78.8,-21.2,-175.2,Keleti Beach Resort
631,Kapaa,US,clear sky,84.2,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
634,Hamilton,US,haze,78.01,39.18,-84.53,Six Acres Bed & Breakfast
637,Portland,US,scattered clouds,70.0,45.52,-122.68,Portland Marriott City Center
638,Bathsheba,BB,scattered clouds,82.4,13.22,-59.52,Atlantis Hotel
641,Todos Santos,MX,overcast clouds,81.0,23.45,-110.22,Hotel California Todos Santos
642,San Cristobal,VE,scattered clouds,86.0,7.77,-72.22,Pirineos
646,Price,US,clear sky,91.4,39.6,-110.81,National 9 - Price River Inn
650,Gondanglegi,ID,scattered clouds,75.45,-7.75,112.01,Gg. Munasir Homestay
653,Port-Gentil,GA,scattered clouds,73.4,-0.72,8.78,Fengshui Residence
654,Victoria,HK,overcast clouds,84.99,22.29,114.16,Mini Hotel Central
656,Faanui,PF,broken clouds,77.14,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
659,Tautira,PF,few clouds,84.2,-17.73,-149.15,Pension Oaoa
661,Callaguip,PH,broken clouds,80.6,18.07,120.49,Pangil Beach Resort
665,Kysyl-Syr,RU,overcast clouds,75.79,63.9,122.76,
667,Hithadhoo,MV,broken clouds,84.24,-0.6,73.08,Scoop Guest House
672,Sao Filipe,CV,clear sky,74.61,14.9,-24.5,Tortuga B&B
673,Roald,NO,broken clouds,71.6,62.58,6.13,Flem Cabins
674,Jamestown,US,broken clouds,75.0,42.1,-79.24,Hampton Inn & Suites Jamestown
678,Davila,PH,broken clouds,80.6,18.47,120.58,SITIO 3 DAVILA PASUQUIN
681,Lompoc,US,clear sky,71.01,34.64,-120.46,Holiday Inn Express Lompoc
689,Cabo San Lucas,MX,broken clouds,89.6,22.89,-109.91,Hotel Tesoro Los Cabos
691,Canutama,BR,overcast clouds,79.75,-6.53,-64.38,Hotel Jhennifer
692,Luganville,VU,overcast clouds,78.8,-15.53,167.17,The Espiritu Hotel
694,Vila Velha,BR,clear sky,77.0,-20.33,-40.29,Hotel Vitória Palace
698,Ranong,TH,broken clouds,77.0,9.97,98.63,Tinidee Hotel@Ranong
699,Butaritari,KI,scattered clouds,82.94,3.07,172.79,Isles Sunset Lodge
700,Colon,PA,overcast clouds,81.0,9.36,-79.9,Sand Diamond Hotel
706,Nuevo Progreso,MX,few clouds,87.01,23.17,-97.95,Balneario Rio el Paraiso
707,San Patricio,MX,scattered clouds,89.6,19.22,-104.7,Hotel Cabo Blanco
710,Korhogo,CI,broken clouds,75.94,9.45,-5.63,Hotel Le Recul
711,Shimoda,JP,light intensity shower rain,71.6,34.67,138.95,Shimoda Tokyu Hotel
714,Linqiong,CN,scattered clouds,77.0,30.42,103.46,Tianlun Tanxianglou Hotel
715,Coahuayana,MX,scattered clouds,82.4,18.73,-103.68,Hotel Los Arcos
716,Tabuk,PH,overcast clouds,80.56,17.42,121.44,Grand Zion Garden Resort Hotel
721,Lao Cai,VN,overcast clouds,81.21,22.48,103.95,Legend Hotel
724,Champerico,GT,light rain,84.2,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
